"Species","Time","TFactor","StDev","X","Xspt","Xest","N.0.00","N.0.98"
"Catharus guttatus",2000,0.599,0.013,2709,2709,2709,5279,397
"Catharus ustulatus",2000,0.424,0.018,589,588.7,588.7,3933,30
"Certhia americana",2000,0.523,0.012,2127,2127,2127,5279,144
"Chaetura pelagica",2000,0.503,0.011,2626,2626,2626,5279,243
"Charadrius melodus",2000,0.279,0.034,75,75,75,315,0
"Charadrius vociferus",2000,0.579,0.011,3742,3742,3742,5279,1430
"Chlidonias leucopterus",2000,NA,NA,1,1,NA,0,0
"Agelaius phoeniceus",2000,0.952,0.022,4934,4932.8,4932.8,5279,3135
"Chlidonias niger",2000,0.315,0.048,44,44,44,1141,0
"Chordeiles minor",2000,0.266,0.023,138,138,138,4671,0
"Circus cyaneus",2000,0.465,0.016,908,908,908,5189,0
"Cistothorus palustris",2000,0.408,0.019,458,458,458,4911,0
"Cistothorus platensis",2000,0.308,0.037,72,72,72,2109,0
"Coccothraustes vespertinus",2000,0.368,0.02,357,357,357,3088,0
"Coccyzus americanus",2000,0.484,0.014,1319,1319,1319,5173,0
"Coccyzus erythropthalmus",2000,0.508,0.012,2019,2019,2019,5279,36
"Colaptes auratus",2000,0.83,0.018,4826,4825.4,4825.4,5279,3223
"Colinus virginianus",2000,0.425,0.036,173,173,173,2881,63
"Aix sponsa",2000,0.489,0.01,2765,2765,2765,5279,72
"Columba livia",2000,0.548,0.011,3706,3706,3706,5279,1612
"Contopus cooperi",2000,0.297,0.017,315,315,315,2141,0
"Contopus virens",2000,0.604,0.011,4314,4314,4314,5279,2491
"Coragyps atratus",2000,0.457,0.047,100,100,100,983,0
"Corvus brachyrhynchos",2000,0.992,0.023,4960,4960,4960,5279,3220
"Corvus corax",2000,0.487,0.012,1871,1871,1871,5066,174
"Corvus ossifragus",2000,0.418,0.025,323,323,323,2858,91
"Cyanocitta cristata",2000,1.355,0.046,5132,5132,5131.9,5279,3350
"Cygnus buccinator",2000,0.661,0.193,12,12,12,453,0
"Cygnus olor",2000,0.411,0.022,400,400,400,3491,17
"Ammodramus caudacutus",2000,0.338,0.045,60,60,60,345,0
"Dendroica caerulescens",2000,0.541,0.014,1910,1910,1910,4892,270
"Dendroica castanea",2000,5.588,1.634,12,12,12,328,0
"Dendroica cerulea",2000,0.498,0.032,244,244,244,3651,0
"Dendroica coronata",2000,0.597,0.013,2813,2813,2813,5111,375
"Dendroica discolor",2000,0.492,0.017,869,869,869,4421,0
"Dendroica dominica",2000,38.822,17.692,5,5,5,126,0
"Dendroica fusca",2000,0.548,0.013,2032,2032,2032,5039,236
"Dendroica magnolia",2000,0.568,0.014,2109,2109,2109,5048,198
"Dendroica palmarum",2000,0.245,0.038,43,43,43,826,0
"Dendroica pensylvanica",2000,0.626,0.012,3972,3972,3972,5279,1479
"Ammodramus henslowii",2000,0.473,0.058,68,68,68,1898,0
"Dendroica petechia",2000,0.746,0.015,4545,4544.4,4544.4,5279,3032
"Dendroica pinus",2000,0.446,0.014,1103,1103,1103,5279,0
"Dendroica striata",2000,0.337,0.032,115,114.7,114.7,1516,0
"Dendroica tigrina",2000,0.147,0.04,14,14,14,786,0
"Dendroica virens",2000,0.584,0.012,3036,3036,3036,5279,634
"Dolichonyx oryzivorus",2000,0.512,0.01,3158,3158,3158,5257,990
"Dryocopus pileatus",2000,0.545,0.01,3463,3463,3463,5235,428
"Dumetella carolinensis",2000,0.799,0.016,4698,4698,4698,5279,3124
"Egretta caerulea",2000,0.202,0.048,18,18,18,279,0
"Egretta thula",2000,0.263,0.035,58,58,58,337,0
