"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
5742,121,104,0.741,3.01,36.56,0.88,90.4,125.6,8
5743,122,133,0.741,3,36.56,0.88,90.4,125.5,8
5744,123,123,0.742,2.97,36.51,0.88,90.5,125.2,8
5745,124,129,0.743,2.92,36.82,0.88,90.7,124.8,9
5746,125,99,0.747,2.86,37.49,0.88,91.1,124.3,8
5747,126,55,0.752,2.81,38.34,0.88,91.5,123.7,8
5748,127,103,0.759,2.74,38.86,0.88,92.2,123.1,8
5749,128,94,0.766,2.67,39.19,0.88,93.3,122.7,7
5750,129,109,0.775,2.57,39.85,0.88,94.8,122.8,7
5751,130,88,0.782,2.47,39.99,0.88,96.2,122.8,6
5752,131,99,0.785,2.42,40.18,0.88,97,122.9,6
5753,132,124,0.787,2.37,39.34,0.88,97.6,122.9,6
5754,133,106,0.782,2.48,39.23,0.88,96.9,123.8,6
5755,134,112,0.779,2.57,39.97,0.88,97,125.2,6
5756,135,94,0.777,2.67,39.95,0.88,97.2,126.7,6
5757,136,118,0.779,2.7,39.53,0.88,97.8,127.6,6
5758,137,58,0.779,2.67,40.55,0.88,98.3,128,6
5759,138,78,0.778,2.65,41.4,0.88,98.5,128.1,6
5760,139,111,0.777,2.6,41.91,0.88,98.5,127.7,6
5761,140,127,0.775,2.61,40.64,0.88,98,127.3,6
5762,141,112,0.774,2.6,39.34,0.88,97.4,126.6,6
5763,142,76,0.774,2.61,38.43,0.88,96.9,125.9,5
5764,143,88,0.774,2.61,38.17,0.88,96.8,125.7,5
5767,144,73,0.773,2.73,39.24,0.88,96.1,126.3,5
5768,145,83,0.772,2.81,40.15,0.88,95.7,126.5,5
5769,146,119,0.774,2.91,40.23,0.88,94.8,126.4,5
5770,147,87,0.775,2.96,37.63,0.88,94.2,125.9,5
5771,148,94,0.779,2.99,35.76,0.88,94,125.6,4
5772,149,125,0.781,2.98,33.31,0.88,94.5,125.8,4
5839,150,120,0.742,3,36.28,0.88,91.1,126.3,8
5840,151,126,0.743,2.98,37.41,0.88,91.5,126.5,8
5841,152,101,0.742,2.97,37.25,0.88,91.4,126.5,8
5842,153,99,0.741,2.98,36.6,0.88,91.2,126.4,8
5843,154,81,0.741,2.96,37.06,0.88,91.4,126.3,9
5844,155,101,0.741,2.93,36.85,0.88,91.5,126.2,9
5845,156,117,0.742,2.88,37.47,0.88,91.9,126,9
5846,157,103,0.746,2.81,37.67,0.88,92.4,125.4,9
5847,158,111,0.753,2.73,39.5,0.88,93.1,124.7,9
5848,159,123,0.761,2.65,39.87,0.88,93.7,123.8,8
5849,160,114,0.769,2.62,39.96,0.88,94,122.8,7
5850,161,103,0.775,2.58,39.73,0.88,94.8,122.9,6
5851,162,95,0.783,2.48,38.88,0.88,96.3,123,6
5852,163,112,0.787,2.37,38.61,0.88,98,123.3,6
5853,164,100,0.79,2.26,37.88,0.88,99.3,123.3,6
5854,165,128,0.791,2.2,37.9,0.88,100.2,123.5,7
5855,166,116,0.792,2.16,37.9,0.88,101.1,124.1,7
5856,167,105,0.795,2.16,38.28,0.88,102.1,125,7
5857,168,110,0.795,2.2,38.19,0.88,102.5,126.1,7
5858,169,118,0.798,2.16,40.06,0.88,103.7,126.8,6
5859,170,104,0.798,2.16,41.07,0.88,103.7,126.8,6
5860,171,130,0.795,2.19,41.39,0.88,102.9,126.4,6
5861,172,139,0.79,2.26,40.75,0.88,101.3,125.9,6
5862,173,132,0.785,2.34,39.77,0.88,99.7,125.1,5
5863,174,116,0.78,2.44,39.16,0.88,98.2,124.9,5
5864,175,113,0.779,2.49,39.12,0.88,98,125.3,5
5865,176,97,0.778,2.56,38.99,0.88,97.7,125.9,5
5866,177,63,0.777,2.64,40.38,0.88,97.4,126.6,5
5867,178,83,0.776,2.75,41.54,0.88,96.7,126.9,5
5868,179,111,0.777,2.85,41.14,0.88,95.8,126.7,5
5869,180,101,0.779,2.91,38.12,0.88,95.1,126.3,4
5870,181,83,0.782,2.96,36.91,0.88,94.8,125.9,4
5871,182,77,0.784,2.96,34.17,0.88,94.9,125.9,2
5940,183,117,0.745,2.94,36.85,0.88,92.1,126.8,8
5941,184,102,0.745,2.92,37.23,0.88,92.3,126.9,8
5942,185,85,0.745,2.89,37.82,0.88,92.7,126.9,9
5943,186,102,0.744,2.86,37.87,0.88,93,127,9
5944,187,99,0.743,2.83,37.27,0.88,93.2,127.2,10
5945,188,80,0.744,2.78,36.88,0.88,93.6,127.2,10
5946,189,120,0.748,2.71,37.09,0.88,94.3,126.8,10
5947,190,109,0.758,2.62,38.6,0.88,95.2,125.8,9
5948,191,116,0.768,2.56,39.82,0.88,95.6,124.4,7
5949,192,109,0.777,2.54,38.88,0.88,95.1,122.7,6
5950,193,103,0.782,2.56,38.74,0.88,95,121.9,5
5951,194,100,0.786,2.54,37.5,0.88,95.7,122.3,5
5952,195,113,0.79,2.4,37.06,0.88,97.6,122.9,6
5953,196,120,0.795,2.23,37.06,0.88,100,123.3,7
5954,197,102,0.802,2.02,37.06,0.88,102.8,123.5,8
5955,198,107,0.81,1.86,37.06,0.88,105.2,123.5,8
5956,199,100,0.816,1.74,37.06,0.88,106.9,123.2,8
5957,200,114,0.822,1.68,37.06,0.88,108.2,123.3,8
5958,201,126,0.827,1.65,38.95,0.88,109.2,123.5,6
5959,202,125,0.824,1.7,41.01,0.88,108.6,123.9,6
5960,203,114,0.817,1.8,41.63,0.88,106.8,123.9,6
5961,204,114,0.808,1.93,40.22,0.88,104.6,123.6,5
5962,205,103,0.799,2.05,39.34,0.88,102.5,123.7,6
5963,206,97,0.791,2.21,39.3,0.88,100.8,124.4,5
5964,207,101,0.786,2.36,38.95,0.88,99.9,125.6,5
5965,208,76,0.781,2.53,39.72,0.88,99.1,127,5
