"Species","Time","TFactor","StDev","X","Xspt","Xest","N.0.00","N.0.98"
"Circus pygargus",1985,2.346,0.349,46,46,46,626,0
"Coccothraustes coccothraustes",1985,1.705,0.097,546,546,546,628,0
"Columba livia",1985,1.747,0.097,490,490,490,628,0
"Columba oenas",1985,1.653,0.1,314,314,314,628,0
"Acrocephalus scirpaceus",1985,1.856,0.1,434,434,434,628,0
"Columba palumbus",1985,1.842,0.201,618,618,618,628,107
"Coracius garrulus",1985,17.191,4.334,17,17,17,215,0
"Corvus corax",1985,1.032,0.068,284,284,284,628,0
"Corvus corone",1985,1.831,0.121,591,591,591,628,2
"Corvus frugilegus",1985,1.496,0.166,85,85,85,624,0
"Corvus monedula",1985,1.623,0.091,400,400,400,628,0
"Coturnix coturnix",1985,2.258,0.123,434,434,434,628,0
"Crex crex",1985,1.607,0.119,200,200,200,628,0
"Cuculus canorus",1985,1.729,0.195,619,619,619,628,169
"Cygnus olor",1985,1.825,0.104,450,450,450,628,0
"Actitis hypoleucos",1985,2.039,0.132,258,258,258,628,0
"Delichon urbica",1985,2.168,0.658,627,627,625.8,628,443
"Dendrocopos leucotos",1985,8.389,1.408,37,37,37,287,0
"Dendrocopos major",1985,1.677,0.218,622,622,621.9,628,259
"Dendrocopos medius",1985,2.354,0.182,178,178,178,628,0
"Dendrocopos minor",1985,1.834,0.097,453,453,453,628,0
"Dendrocopos syriacus",1985,5.236,0.946,33,33,33,355,0
"Dryocopus martius",1985,1.747,0.108,575,575,575,628,9
"Egretta garzetta",1985,NA,NA,1,1,NA,0,0
"Emberiza citrinella",1985,1.786,0.547,628,628,626.8,628,545
"Emberiza hortulana",1985,1.137,0.167,48,48,48,625,0
"Aegithalos caudatus",1985,1.675,0.099,570,570,570,628,2
"Emberiza schoeniclus",1985,1.971,0.106,462,462,462,628,0
"Erithacus rubecula",1985,1.864,0.278,623,623,622.8,628,259
"Falco cherrug",1985,7.44,2.126,13,13,13,121,0
"Falco peregrinus",1985,1.129,0.233,24,24,24,528,0
"Falco subbuteo",1985,2.238,0.159,216,216,216,628,0
"Falco tinnunculus",1985,1.42,0.134,615,615,615,628,252
"Falco vespertinus",1985,1.471,0.857,3,3,3,182,0
"Ficedula albicollis",1985,2.334,0.145,301,301,301,628,0
"Ficedula hypoleuca",1985,1.319,0.079,326,326,326,628,0
"Ficedula parva",1985,1.609,0.135,148,148,148,628,0
"Aegolius funereus",1985,1.555,0.133,146,146,146,628,0
"Fringilla coelebs",1985,1.736,0.421,627,627,626.2,628,476
"Fulica atra",1985,1.96,0.119,501,501,501,628,5
"Galerida cristata",1985,1.863,0.118,279,279,279,628,0
"Gallinago gallinago",1985,1.91,0.117,307,307,307,628,0
"Gallinula chloropus",1985,1.956,0.108,416,416,416,628,0
"Garrulus glandarius",1985,1.586,0.154,615,615,615,628,209
"Glaucidium passerinum",1985,3.622,0.348,127,127,127,628,0
"Grus grus",1985,0.804,0.307,7,7,7,228,0
"Haliaeetus albicilla",1985,1.827,0.451,17,17,17,328,0
"Himantopus himantopus",1985,4.563,2.309,4,4,4,208,0
