"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
6241,290,119,0.762,0.87,37.42,0.74,96.2,91.1,4
6242,291,120,0.765,0.85,38.59,0.74,97.2,91.4,4
6243,292,90,0.769,0.83,39.58,0.74,98.7,92,4
6244,293,120,0.777,0.8,41.21,0.74,100.7,92.4,5
6245,294,128,0.784,0.76,40.99,0.74,102.2,92.2,5
6246,295,124,0.793,0.7,36.87,0.74,103.1,90.3,4
6247,296,118,0.804,0.61,34.46,0.74,102.8,86.5,3
6248,297,113,0.812,0.55,34.58,0.74,101.8,83.1,3
6249,298,61,0.822,0.5,36.67,0.74,102.1,81.2,3
6250,299,126,0.831,0.46,36.65,0.74,102.9,79.8,3
6251,300,109,0.837,0.43,36.63,0.74,104,79,3
6252,301,81,0.84,0.41,36.64,0.74,104.6,78.5,3
6253,302,118,0.842,0.41,36.65,0.74,105.5,79.3,3
6254,303,114,0.842,0.43,36.65,0.74,106.7,81.2,3
6255,304,105,0.84,0.45,36.65,0.74,107.3,82.9,4
6256,305,106,0.838,0.46,36.66,0.74,107.8,83.8,4
6257,306,91,0.837,0.46,36.65,0.74,108.4,84,4
6258,307,85,0.837,0.46,36.65,0.74,109.1,84.5,4
6259,308,102,0.836,0.47,37.2,0.74,109.8,85.7,4
6260,309,118,0.833,0.5,38.03,0.74,110.7,88.1,4
6261,310,90,0.827,0.55,37.94,0.74,110.7,90,4
6262,311,113,0.815,0.59,37.38,0.74,109.2,90.8,4
6263,312,92,0.802,0.62,36.28,0.74,106.4,90,3
6264,313,99,0.791,0.64,36.16,0.74,102.7,88,4
6265,314,76,0.788,0.63,37.88,0.74,98.7,84.2,5
6266,315,76,0.793,0.57,39.88,0.74,96.2,79.7,5
6267,316,134,0.801,0.51,39.34,0.74,94.8,75.9,6
6268,317,119,0.804,0.51,40.66,0.74,94.5,75.5,5
6269,318,123,0.804,0.53,41.81,0.74,94.9,76.8,5
6270,319,95,0.798,0.58,41.49,0.74,95.6,79.5,4
6271,320,105,0.793,0.63,39.17,0.74,96.3,81.9,4
6272,321,85,0.788,0.67,38.08,0.74,97,84,4
6273,322,94,0.785,0.69,37.57,0.74,97.7,85.7,3
6274,323,125,0.783,0.71,37.04,0.74,98.2,86.6,3
6275,324,109,0.782,0.71,37.32,0.74,98.6,87.3,3
6276,325,104,0.783,0.71,36.13,0.74,98.8,87.5,3
6277,326,101,0.782,0.71,35.53,0.74,98.9,87.6,3
6341,327,41,0.773,0.81,37.49,0.74,97.9,90.4,4
6342,328,122,0.776,0.79,38.8,0.74,99.1,90.7,4
6343,329,115,0.783,0.76,41.24,0.74,100.9,91.1,5
6344,330,100,0.792,0.72,42.5,0.74,102.8,91,5
6345,331,136,0.802,0.66,41.53,0.74,104.3,89.7,4
6346,332,120,0.81,0.6,38.51,0.74,104.4,87.4,4
6347,333,132,0.82,0.53,34.96,0.74,104.2,84.3,4
6348,334,117,0.833,0.48,34.43,0.74,104.3,82,3
6349,335,79,0.84,0.45,34.57,0.74,104.5,80.5,3
6350,336,93,0.846,0.42,36.67,0.74,104.8,79.4,3
6351,337,101,0.849,0.4,36.67,0.74,105.1,78.9,3
6352,338,135,0.85,0.39,36.65,0.74,105.2,78.5,3
6353,339,97,0.851,0.39,36.64,0.74,105.8,78.8,3
6354,340,118,0.851,0.4,36.7,0.74,107.1,80.4,4
6355,341,121,0.852,0.41,36.76,0.74,108.5,81.7,4
6356,342,92,0.847,0.42,36.83,0.74,109.1,82.8,4
6357,343,99,0.843,0.43,36.35,0.74,109.5,83.3,4
6358,344,113,0.841,0.43,36.3,0.74,110.4,84,4
6359,345,124,0.843,0.43,36.67,0.74,111.8,85.2,4
6360,346,105,0.842,0.45,37.04,0.74,112.8,86.9,3
6361,347,126,0.838,0.47,37.76,0.74,112.8,88.1,4
