Location,Loc_no,No_spp,Phi_in,Alpha,Wgt_n2,Phi_out,Spnum_in,Spnum_out,Iter
6257      ,    306,     91,  0.886,  3.10,   4.57,  0.940,     112.0,     131.6,    4
6258      ,    307,     85,  0.875,  2.68,   4.57,  0.940,     115.7,     135.2,   47
6259      ,    308,    102,  0.888,  2.33,   4.57,  0.940,     121.3,     137.4,   22
6260      ,    309,    118,  0.880,  2.58,   4.57,  0.940,     115.9,     133.9,   49
6261      ,    310,     90,  0.884,  2.89,   4.57,  0.940,     109.5,     127.9,    8
6262      ,    311,    113,  0.897,  2.98,   4.57,  0.940,     114.4,     132.0,    4
6263      ,    312,     92,  0.905,  2.07,   4.57,  0.940,     123.0,     135.3,    8
6264      ,    313,     99,  0.935,  1.14,   4.57,  0.940,     127.4,     129.1,    3
6265      ,    314,     76,  0.894,  1.83,   4.57,  0.940,     119.6,     130.9,   55
6266      ,    315,     76,  0.856,  3.76,   4.57,  0.940,     100.9,     126.4,   41
6267      ,    316,    134,  0.874,  3.18,   4.57,  0.940,     100.0,     119.4,    9
6268      ,    317,    119,  0.886,  2.35,   4.57,  0.940,     108.8,     123.8,   14
6269      ,    318,    123,  0.874,  2.81,   4.57,  0.940,     108.3,     127.0,   13
6270      ,    319,     95,  0.895,  2.83,   4.57,  0.940,     100.0,     115.0,    2
6271      ,    320,    105,  0.899,  3.81,   4.57,  0.940,      90.7,     107.0,    6
6272      ,    321,     85,  0.886,  5.06,   4.57,  0.940,      94.5,     118.8,    5
6273      ,    322,     94,  0.868,  3.38,   4.57,  0.940,     102.4,     124.5,   10
6274      ,    323,    125,  0.866,  3.32,   4.57,  0.940,     111.6,     135.1,    9
6275      ,    324,    109,  0.862,  2.90,   4.57,  0.940,     116.9,     139.8,   57
6276      ,    325,    104,  0.909,  1.94,   4.73,  0.940,     126.8,     138.0,    4
6277      ,    326,    101,  0.914,  1.85,   4.12,  0.940,     126.6,     136.4,    4
